wsid,hr,temp,hmdy,wdsp,gust,gbrd
303,15,26.0,67.0,2.2,3.9,1610.564
303,20,27.6,70.0,2.9,8.9,409.72
303,10,16.7,97.0,0.7,1.8,42.865
303,19,25.2,68.0,3.4,8.5,1193.167
303,4,17.7,93.0,0.8,3.1,0.0
303,9,23.0,74.0,3.0,6.5,117.923
303,16,28.4,62.0,2.6,6.5,1916.512
303,17,30.7,58.0,4.6,10.1,3406.099
303,18,25.9,66.0,5.4,10.7,2109.136
303,16,24.9,68.0,2.8,7.1,1677.564
303,17,24.4,66.0,2.3,5.6,1099.618
303,17,26.1,58.0,3.4,7.4,2763.939
303,21,24.3,78.0,3.3,9.1,12.874
303,8,18.2,91.0,1.2,2.7,0.0
303,19,25.1,65.0,4.1,9.1,1435.535
303,17,22.7,82.0,3.0,6.4,824.298
303,3,18.5,87.0,0.9,2.4,0.0
303,20,28.1,67.0,3.8,8.5,941.318
303,18,27.5,51.0,3.7,9.0,1992.669
303,4,24.4,74.0,2.2,6.2,0.0
303,6,23.9,79.0,1.5,5.3,0.0
303,2,20.2,61.0,3.1,7.9,0.0
303,18,26.8,58.0,2.5,9.1,1094.874
303,13,26.3,83.0,1.1,5.4,1008.793
303,15,29.5,41.0,1.6,4.5,2678.415
303,21,23.1,78.0,1.9,5.0,0.0
303,22,22.4,85.0,2.8,8.3,0.0
303,11,24.3,88.0,1.6,4.5,694.541
303,20,23.0,63.0,1.9,6.3,314.19
303,4,20.3,92.0,0.4,1.6,0.0
303,12,27.8,70.0,1.2,3.2,2097.271
303,13,23.2,51.0,3.5,10.3,2171.983
303,4,18.9,97.0,1.4,2.9,0.0
303,13,30.4,52.0,3.7,10.1,3287.419
303,20,22.1,61.0,1.9,5.2,49.616
303,8,17.5,92.0,1.8,4.0,0.0
303,8,22.1,96.0,0.7,2.4,0.0
303,13,25.5,57.0,2.8,6.7,2834.771
303,21,26.3,77.0,1.6,4.8,5.053
303,8,22.5,93.0,0.8,3.6,0.0
303,5,22.7,96.0,0.9,2.1,0.0
303,18,27.7,61.0,2.0,5.1,1194.939
303,21,27.6,76.0,2.9,10.4,180.533
303,11,21.3,73.0,1.0,3.4,615.778
303,21,26.3,85.0,2.5,6.7,90.518
303,22,23.3,81.0,2.2,5.5,0.0
303,0,25.6,74.0,4.1,8.7,0.0
303,16,25.6,60.0,2.7,5.6,2268.137
303,2,24.6,78.0,2.2,6.3,0.0
303,20,27.6,63.0,4.0,9.3,1275.045
303,3,18.5,96.0,0.7,1.5,0.0
303,21,20.7,90.0,2.1,7.2,44.327
303,1,17.9,90.0,0.8,2.5,0.0
303,19,29.4,57.0,2.5,5.8,881.661
303,23,23.3,84.0,2.0,7.0,0.0
303,12,27.5,61.0,3.5,7.8,2120.56
303,15,24.9,57.0,3.2,6.6,3603.272
303,9,23.9,92.0,1.8,3.1,52.728
303,6,17.7,95.0,1.4,2.3,0.0
303,19,30.8,65.0,4.4,9.3,1989.755
303,5,18.0,96.0,0.9,2.8,0.0
303,13,28.6,61.0,4.0,10.1,2316.997
303,18,25.4,74.0,2.4,5.3,1608.929
303,1,22.1,68.0,1.4,4.9,0.0
303,10,24.2,96.0,0.8,1.9,138.856
303,23,24.0,93.0,0.6,5.0,0.0
303,21,26.7,80.0,2.6,6.2,170.835
303,0,20.4,90.0,0.9,2.7,0.0
303,10,23.0,83.0,1.5,5.6,102.912
303,14,28.1,52.0,3.0,7.1,2201.765
303,22,25.4,77.0,1.7,8.0,0.0
303,22,26.3,84.0,1.2,4.5,11.252
303,5,22.8,96.0,0.6,1.5,0.0
303,20,26.8,69.0,4.9,12.5,799.319
303,15,26.6,57.0,2.7,6.5,2475.94
303,18,27.7,68.0,2.3,6.6,1503.629
303,1,18.8,94.0,0.4,1.5,0.0
303,20,24.0,66.0,2.9,6.1,482.749
303,17,34.4,45.0,3.3,6.4,2919.154
303,5,25.4,79.0,3.2,6.2,0.0
303,14,25.3,62.0,2.7,6.3,1999.66
303,18,30.7,62.0,4.1,9.7,2513.695
303,11,27.7,69.0,1.5,3.8,1546.362
303,11,27.8,71.0,1.1,4.0,1452.704
303,21,23.1,72.0,1.0,4.7,0.0
303,0,23.1,63.0,2.4,6.8,0.0
303,14,25.3,84.0,0.7,8.0,1164.109
303,22,25.2,69.0,2.8,8.5,0.0
303,6,24.9,82.0,2.1,5.5,0.0
303,6,23.4,63.0,2.0,6.3,0.0
303,21,22.6,82.0,1.8,6.5,35.259
303,16,24.3,68.0,2.7,7.4,2201.582
303,1,23.8,84.0,2.8,7.4,0.0
303,17,23.3,88.0,1.9,3.8,549.27
303,9,18.1,95.0,1.2,1.9,0.0
303,23,23.5,95.0,0.6,1.7,0.0
303,7,22.1,93.0,0.8,2.1,0.0
303,17,30.7,61.0,3.0,6.4,2866.127
303,20,24.2,55.0,2.8,7.0,667.085
303,2,23.2,90.0,0.6,2.3,0.0
303,9,15.1,97.0,1.3,2.9,0.0
303,9,23.4,97.0,1.0,2.0,22.116
303,16,28.2,69.0,3.7,6.5,3894.714
303,0,23.8,93.0,0.5,1.5,0.0
303,21,26.1,74.0,2.8,6.7,479.859
303,4,24.6,74.0,3.1,7.7,0.0
303,21,22.6,81.0,2.5,5.2,18.369
303,10,24.7,92.0,1.5,2.3,578.308
303,0,22.1,79.0,1.8,4.3,0.0
303,21,25.3,77.0,2.2,6.4,0.455
303,19,24.8,75.0,4.8,13.4,186.512
303,3,18.0,97.0,0.7,1.4,0.0
303,20,27.6,79.0,3.5,10.6,503.499
303,14,25.6,56.0,2.5,5.4,1594.871
303,9,22.8,72.0,3.2,7.4,0.0
303,0,21.5,85.0,0.5,1.9,0.0
303,12,29.2,58.0,2.9,10.0,2545.082
303,6,22.9,96.0,0.9,1.9,0.0
303,6,16.8,90.0,1.4,4.0,0.0
303,20,24.6,69.0,3.1,7.3,230.531
303,10,23.8,93.0,0.8,4.6,350.811
303,6,21.0,93.0,1.9,3.4,0.0
303,22,22.9,74.0,0.3,2.9,0.0
303,8,21.6,88.0,2.0,5.6,0.0
303,10,27.2,72.0,1.5,3.7,423.478
303,7,19.9,96.0,0.7,3.0,0.0
303,3,21.0,77.0,2.2,6.2,0.0
303,10,21.8,79.0,0.6,2.0,20.138
303,19,29.3,68.0,2.1,6.9,1513.448
303,15,31.8,54.0,4.2,11.9,3584.829
303,9,21.4,91.0,1.2,2.7,8.129
303,13,27.3,55.0,1.7,5.7,2458.86
303,2,22.7,95.0,0.9,4.6,0.0
303,3,18.8,94.0,0.9,1.5,0.0
303,22,22.9,83.0,2.5,5.3,0.0
303,19,26.1,60.0,4.5,11.2,1662.642
303,23,24.4,82.0,2.5,5.4,0.0
303,22,27.6,75.0,1.7,4.8,0.0
303,9,22.2,97.0,0.6,1.5,7.392
303,12,30.1,62.0,2.8,6.5,2095.094
303,16,31.1,64.0,3.4,7.4,2243.567
303,23,26.4,84.0,3.1,7.9,0.0
303,12,29.8,62.0,1.6,4.0,2414.682
303,16,25.8,45.0,3.2,7.6,2795.189
303,9,16.9,96.0,0.4,3.3,0.0
303,2,22.4,95.0,0.6,1.5,0.0
303,3,22.2,83.0,1.7,3.7,0.0
303,9,20.7,96.0,0.8,1.6,14.258
303,20,22.1,67.0,2.6,9.1,95.854
303,21,25.1,74.0,2.8,8.3,134.924
303,8,19.5,67.0,1.6,6.7,0.0
303,16,24.1,85.0,2.5,6.2,355.766
303,23,25.9,82.0,2.9,7.8,0.0
303,5,19.6,70.0,2.4,7.1,0.0
303,23,26.0,83.0,1.5,4.6,0.0
303,16,24.7,75.0,3.1,6.9,2380.129
303,20,27.5,71.0,2.6,6.7,219.586
303,16,28.5,68.0,1.6,3.5,2393.886
303,0,23.0,94.0,0.8,2.4,0.0
303,1,24.3,94.0,0.5,1.2,0.0
303,16,27.3,77.0,2.6,6.9,1286.232
303,13,24.9,41.0,1.3,3.4,2346.191
303,23,20.1,93.0,0.6,2.3,0.0
303,3,24.8,73.0,3.1,8.7,0.0
303,8,17.4,86.0,1.5,3.7,0.0
303,19,23.6,85.0,1.8,5.6,511.265
303,16,21.1,89.0,1.1,4.2,819.445
303,10,19.5,92.0,1.0,3.0,222.519
303,3,23.0,91.0,0.8,1.8,0.0
303,10,22.9,81.0,2.0,5.7,32.691
303,7,21.4,83.0,1.1,5.6,0.0
303,22,23.3,93.0,1.7,6.1,0.0
303,4,23.6,88.0,2.3,7.2,0.0
